artist_name,track_name,release_date,genres,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
Marry,Vorglühn Nachglühn,2018-10-12,"['discofox', 'partyschlager', 'schlager']",False,42,0.728,0.936,6,-2.557,1,0.169,0.0368,0.0,0.323,0.509,144.968,0lLA33ZtNiWUOB3oATZUbR,174631,4
ABBA,Chiquitita,1979,"['europop', 'swedish pop']",False,75,0.5,0.554,9,-8.108,1,0.0354,0.734,3.72e-06,0.312,0.372,84.229,762B4bOcXF7I2Y8UlKTyTy,326320,4
Drug Squad,Dangerous Trouble,2010-08-09,['deep punk rock'],False,0,0.149,0.802,1,-9.954,1,0.0465,0.187,0.785,0.356,0.478,185.689,5TeP9dfDZivCzM20ucyHsy,277053,4
Ahmad Jamal,Poinciana,1958-05-23,"['bebop', 'cool jazz', 'jazz', 'jazz piano']",False,0,0.604,0.622,9,-9.277,1,0.0282,0.495,0.661,0.873,0.57,97.98,1nTaXD1Kt2qE8Oq92rjdrX,487201,4
Korn,Make Me Bad,1999-11-01,"['alternative metal', 'funk metal', 'nu metal', 'rap metal', 'rock']",True,0,0.527,0.792,11,-6.693,0,0.0363,0.000122,0.037,0.249,0.424,110.038,0w6VKmDlUJyIqRcJ6hPwLf,235493,4
"Lee ""Scratch"" Perry",Golden Locks,2008-12-22,"['dub', 'reggae', 'roots reggae', 'ska']",False,0,0.724,0.536,7,-9.207,1,0.253,0.341,0.00991,0.252,0.608,143.396,0itwJhiZbJpqIBUuHEMDPt,168360,4
INXS,Never Tear Us Apart,1987,"['australian rock', 'classic rock', 'dance rock', 'funk rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']",False,71,0.664,0.613,0,-7.56,1,0.0273,0.00309,0.000128,0.175,0.193,96.6,1GjbTNFImFrjFsNdleDe78,184587,3
Pink Floyd,Us And Them - 2011 Remastered Version,1973-03-16,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",False,0,0.356,0.302,2,-14.528,1,0.0346,0.863,0.546,0.634,0.126,72.623,5a8pT7EetH5fSv7VGEz8tN,469224,4
Solutio & The I's,Necromancy - Original Mix,2012-11-16,[],True,2,0.429,0.964,8,-4.355,0,0.115,0.294,0.0947,0.033,0.0589,150.038,2gZ2IyTo7TNZKtMsMvFKCS,304072,4
The Clash,Hate & War - Remastered,1977,"['classic rock', 'permanent wave', 'punk', 'rock']",False,37,0.471,0.77,0,-7.123,1,0.0935,0.0237,0.0,0.166,0.681,150.92,1OtO2g2E1rnAW4KjNNeNui,126907,4
Throttle,Found You (Make Me Yours),2017-05-08,[],False,0,0.704,0.888,9,-2.002,1,0.184,0.0926,4.53e-06,0.276,0.425,125.098,5SOH5vX9e94JlyJRgq9bgE,206274,4
Apocalyptica,Talk To Me (feat. Lzzy Hale),2020-08-21,"['alternative metal', 'bow pop', 'cello', 'finnish metal', 'gothic metal', 'symphonic metal']",False,57,0.409,0.877,2,-5.865,0,0.0602,0.00329,0.0,0.222,0.403,177.928,00i9VF7sjSaTqblAuKFBDO,208021,4
Olivia O'Brien,Josslyn,2020-02-07,"['alt z', 'dance pop', 'electropop', 'indie poptimism', 'pop', 'post-teen pop']",True,0,0.331,0.769,2,-4.5,1,0.166,0.0121,0.0,0.649,0.376,83.061,0UhKDHeZw2kHOz9HiRNFBH,189120,4
Oasis,Wonderwall,2006-11-19,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",False,0,0.409,0.892,2,-4.373,1,0.0336,0.000807,0.0,0.207,0.651,174.426,2CT3r93YuSHtm57mjxvjhH,258613,4
Modest Mouse,Dramamine,1996-04-16,"['alternative rock', 'double drumming', 'indie pop', 'indie rock', 'modern rock', 'rock', 'washington indie']",False,0,0.376,0.736,4,-9.438,0,0.0412,0.326,0.105,0.107,0.796,185.12,3dyAeVpD95xiRGAp9SQpNg,342000,3
Riley Green,Jesus And Wranglers,2020-09-11,"['contemporary country', 'country road']",False,56,0.579,0.754,4,-5.249,1,0.0261,0.00805,0.0,0.0803,0.734,124.036,0vgoslYFyEhs1qKMLJWg9Y,183560,4
Max Load,X-Rod,2013-02-19,['deep punk rock'],False,1,0.262,0.855,2,-6.426,1,0.0426,0.204,1.11e-06,0.131,0.411,187.489,47Vp2TctOCNEoMt7pwHIgy,120013,4
Louis Prima,"Angelina/Zooma Zooma - Medley/Live At The Casbar Theater, Las Vegas/1958/1991 Remaster",1991-01-01,"['adult standards', 'jump blues', 'lounge', 'soul', 'swing', 'vocal jazz']",False,38,0.558,0.58,1,-10.671,1,0.462,0.822,2.13e-06,0.327,0.902,130.938,7xDd7jgz9ItbdgKTVDRi0f,256867,4
Villagers,Did You Know?,2019-11-04,"['chamber pop', 'indie folk', 'stomp and holler']",False,41,0.591,0.489,2,-11.942,1,0.0326,0.368,0.138,0.0948,0.226,95.013,4ajhEvz68KJrN1xub1wmHN,210559,4
Ercola,Every Word (feat. Daniella) - Wendel Kos Radio Edit,2008-06-17,[],False,42,0.65,0.967,9,-5.674,1,0.13,0.0349,0.19,0.779,0.319,127.995,0X7ELV6fLyjynJ3MexWh4X,213173,4
Johnny Nash,Stir It Up,2006-03-27,['classic uk pop'],False,25,0.53,0.552,2,-5.667,1,0.0526,0.0846,0.0316,0.089,0.801,170.719,1XmoGTtdZ1osEMOMBZ1Nfp,178880,4
Logic,Homicide,2019-05-03,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",True,66,0.722,0.764,10,-5.656,0,0.398,0.145,0.0,0.171,0.796,139.831,0Lw6aQcBFWTQ9m4MSwwwes,245413,4
Fat Nick,P.S Fuck You Cunt (feat. Lil Peep),2016-05-31,"['dark trap', 'emo rap', 'underground hip hop', 'vapor trap']",True,61,0.723,0.459,11,-10.259,1,0.239,0.00096,0.0,0.11,0.313,139.972,3Bo3lNVQTtZYMCoItX8dKW,197143,4
Ludovico Einaudi,Divenire,2007-04-20,"['bow pop', 'compositional ambient', 'neo-classical']",False,0,0.144,0.21,7,-15.425,1,0.0344,0.914,0.883,0.0694,0.084,88.771,4O0Yww5OIWyfBvWn6xN3CM,404253,3
Playboi Carti,JumpOutTheHouse,2020-12-25,"['atl hip hop', 'plugg', 'rap', 'trap']",True,69,0.87,0.461,1,-5.786,1,0.201,0.00456,0.0,0.11,0.485,144.053,0cgD36xPIJBdKUNJRHYDgP,93385,4
Julien Clerc,Coeur de Rocker,1998-03-22,"['chanson', 'french pop']",False,40,0.821,0.828,11,-6.513,1,0.0306,0.108,0.00356,0.0618,0.973,115.912,5SORP4slnCCw58RNIjeQ3l,234933,4
Human Therapy,(It'll Always Be) Friday Night,2008-06-15,[],False,0,0.444,0.916,9,-7.118,1,0.296,0.00163,0.188,0.111,0.283,172.724,6BUlZrhHLX7hPisFrkl1te,96173,4
Disasterpeace,The Midnight Wood,2016-04-13,"['indie game soundtrack', 'video game music']",False,0,0.479,0.155,1,-26.722,0,0.0371,0.948,0.902,0.0646,0.0418,138.03,2trHjktny14AoWY2XxdDQv,398500,3
Etta James,A Sunday Kind Of Love,1960,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']",False,71,0.421,0.285,2,-9.43,0,0.0293,0.829,1.55e-06,0.233,0.402,85.861,0zGLlXbHlrAyBN1x6sY0rb,196133,4
Drongos For Europe,Death's A Career,2018-05-11,['uk82'],False,7,0.383,0.916,6,-4.234,1,0.0559,0.0131,0.157,0.0826,0.57,94.932,3Eilty8UpnCD4wGlOmwLHd,179800,4
Dj S 404,Lost Times,2020-10-02,[],False,14,0.651,0.734,8,-8.399,0,0.0434,0.0041,0.896,0.0712,0.22,101.68,7fho4TV7jGrLQFnrGj3z2h,346808,4
Lil Baby,Heatin Up (feat. Gunna),2020-05-01,"['atl hip hop', 'atl trap', 'rap', 'trap']",True,53,0.788,0.436,1,-9.435,1,0.364,0.0612,0.0,0.0979,0.341,129.852,2Fm8QdRzWXWjscoOqXvffN,177314,4
