release_date,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
2015-06-23,False,38,0.509,0.872,2,-5.17,1,0.0547,0.0396,1.54e-05,0.331,0.486,95.969,194375,4,country
2021-11-12,False,58,0.182,0.0377,11,-33.748,0,0.0391,0.987,0.957,0.0804,0.0923,100.482,241804,4,classical
2013-06-21,False,36,0.55,0.941,0,-3.128,0,0.0849,0.0182,0.00375,0.312,0.351,145.006,260276,4,rap
2012-09-04,False,0,0.569,0.719,6,-8.399,0,0.0663,0.867,0.941,0.176,0.643,145.118,165200,4,blues
2008,False,0,0.631,0.661,8,-5.694,1,0.0558,0.0146,0.72,0.365,0.33,130.004,245933,4,dance
2016-07-06,True,50,0.698,0.85,10,-5.173,0,0.0285,0.00194,0.00592,0.118,0.194,120.029,230000,4,pop
1977-06-03,False,0,0.832,0.581,7,-15.031,1,0.0482,0.0441,0.000376,0.499,0.968,132.932,449880,4,reggae
2013-05-27,True,0,0.523,0.438,0,-11.49,0,0.0356,0.867,0.0723,0.123,0.106,126.028,245240,4,rock
2018-10-26,True,64,0.652,0.818,11,-4.223,1,0.221,0.129,0.0,0.234,0.373,92.246,204959,4,hip hop
1973-12-05,False,0,0.504,0.739,9,-7.265,1,0.0316,0.0179,0.08,0.0949,0.417,128.918,248360,4,rock
1988-10-21,False,74,0.539,0.583,1,-4.935,0,0.0275,0.108,0.0,0.111,0.337,86.063,328093,4,pop
1990,False,66,0.542,0.915,9,-9.637,1,0.0549,0.319,5.34e-05,0.171,0.92,159.81,175400,4,rock
2015-11-06,False,0,0.524,0.904,0,-2.614,0,0.0544,0.103,0.201,0.165,0.413,139.976,271067,4,r&b
2021-06-23,False,65,0.562,0.82,4,-4.253,0,0.0911,0.191,0.0,0.326,0.266,107.953,177222,4,pop
1997,False,21,0.381,0.975,1,-4.954,1,0.147,0.0832,0.00415,0.222,0.323,127.221,139960,4,punk
2011-08-25,False,0,0.67,0.945,6,-6.721,1,0.0365,0.0228,0.686,0.0572,0.806,135.972,199133,4,edm
2009-12-25,False,0,0.387,0.313,2,-13.493,1,0.0276,0.938,0.000142,0.102,0.332,100.168,182467,3,rock
2019-01-25,False,47,0.694,0.668,6,-8.102,0,0.0752,0.179,1.34e-06,0.0959,0.508,126.979,206067,4,chanson
1979-01-01,False,75,0.586,0.7,0,-9.558,1,0.0363,0.0589,0.00125,0.0318,0.897,147.245,295400,4,rock
2009-05-04,False,1,0.794,0.939,1,-1.344,1,0.0405,0.00326,0.946,0.0629,0.338,126.175,291123,4,pop
2020-03-13,True,53,0.665,0.932,6,-2.497,1,0.0819,0.0109,0.661,0.22,0.258,123.977,187742,4,pop
2013-01-01,False,38,0.721,0.933,2,-4.249,1,0.17,0.0195,0.000365,0.0558,0.182,125.012,384493,4,edm
2007-11-01,False,0,0.595,0.548,7,-6.761,0,0.115,0.00344,0.0,0.134,0.563,188.082,223187,4,pop
2008-01-23,False,0,0.428,0.524,7,-6.04,1,0.0259,0.919,6.16e-05,0.295,0.36,85.774,143493,4,blues
2016-03-11,False,0,0.754,0.88,0,-4.442,1,0.065,0.235,3.99e-05,0.147,0.742,103.968,224630,4,reggae
1979-01-01,False,2,0.315,0.95,10,-6.882,0,0.0789,0.0222,0.0,0.741,0.346,79.042,125333,4,rock
1989-08-15,False,0,0.243,0.696,4,-9.006,1,0.0368,0.00336,0.207,0.326,0.487,103.548,275800,4,rock
1987-01-01,False,0,0.718,0.591,1,-13.649,0,0.0897,0.206,0.0,0.493,0.857,109.895,217827,4,soul
2019-09-06,False,54,0.726,0.657,10,-7.066,0,0.0327,0.00765,0.000248,0.0975,0.629,114.996,235707,4,electro
2008-02-26,False,0,0.816,0.838,11,-8.349,1,0.0823,0.0895,0.481,0.0616,0.964,132.964,255520,4,dance
2003-01-01,False,0,0.719,0.317,11,-12.865,0,0.0849,0.747,0.0675,0.0867,0.23,81.999,184040,4,electro
1965-12-04,False,0,0.375,0.29,7,-10.889,1,0.0293,0.734,0.00169,0.185,0.344,113.163,165213,4,rock
1982,False,0,0.451,0.816,9,-2.859,0,0.042,0.0213,4.05e-06,0.12,0.756,118.517,238867,4,rock
2018-10-21,False,26,0.723,0.727,1,-6.797,0,0.161,0.0101,0.000351,0.0686,0.633,119.951,214000,4,rap
2001-09-10,True,55,0.516,0.945,7,-4.202,1,0.0979,0.000602,0.0683,0.0841,0.101,174.756,210533,4,metal
1972,False,0,0.619,0.78,9,-14.023,1,0.0349,0.117,0.831,0.0693,0.771,152.581,607427,4,rock
1996-03-18,False,0,0.454,0.888,4,-6.445,0,0.0794,0.00489,0.0,0.117,0.83,157.711,194160,4,pop
2013-01-01,False,0,0.517,0.738,5,-8.606,0,0.246,0.175,0.0219,0.164,0.602,130.01,210680,4,hip hop
2011-01-01,False,0,0.439,0.822,4,-6.764,1,0.0695,0.0113,0.0,0.133,0.884,176.711,199907,4,rock
2014-10-31,False,74,0.544,0.915,8,-3.405,1,0.0841,0.129,0.000914,0.115,0.51,126.094,184280,4,pop
1996-09-03,False,5,0.671,0.748,2,-10.253,0,0.0366,0.445,0.00349,0.0897,0.905,101.822,205667,4,salsa
2011-03-26,False,0,0.608,0.482,6,-9.48,1,0.0333,0.916,0.113,0.422,0.7,129.663,193968,4,jazz
2007-11-01,False,0,0.435,0.648,5,-7.71,1,0.0339,0.23,0.939,0.117,0.101,129.992,516013,4,rock
2021-06-14,True,41,0.699,0.316,0,-10.925,1,0.428,0.155,0.0,0.105,0.595,130.759,219400,4,rap
2010-01-14,False,53,0.718,0.676,11,-11.633,0,0.0318,0.153,0.0306,0.0706,0.944,112.711,316267,4,disco
2000-01-11,False,46,0.719,0.819,9,-5.199,0,0.252,0.384,0.0,0.21,0.886,91.367,241533,4,hip hop
1988-10-10,False,0,0.65,0.665,9,-11.259,1,0.0372,0.0526,4.62e-06,0.13,0.593,115.51,254267,4,rock
1972-02-25,False,0,0.655,0.255,3,-15.543,1,0.0429,0.85,0.122,0.136,0.446,82.569,123173,4,folk
2021-02-26,False,68,0.505,0.627,6,-7.851,1,0.0273,0.423,7.4e-05,0.0755,0.296,141.881,231266,4,country
